task_id,flag_type,flag_count
T001,helped_peer,1
T004,proactive_update,1
T005,rework_requested,1
T009,rework_requested,1
T010,rework_requested,2
T011,blocked_escalated_late,1
T012,rework_requested,2
T013,blocked_escalated_late,1
T014,helped_peer,1
T014,rework_requested,1
T015,blocked_escalated_late,2
T015,proactive_update,1
T016,helped_peer,1
T016,proactive_update,1
T017,rework_requested,1
T017,blocked_escalated_late,1
T018,rework_requested,2
T018,blocked_escalated_late,1
T019,helped_peer,1
T019,proactive_update,1
T020,rework_requested,1
T020,blocked_escalated_late,1
T021,helped_peer,1
T022,rework_requested,1
T022,blocked_escalated_late,1
T024,helped_peer,1
T024,blocked_escalated_late,1
T025,proactive_update,1
T027,helped_peer,1
