task_id,flag_type,flag_count
T1,helped_peer,1
T4,proactive_update,1
T5,rework_requested,1
T9,rework_requested,1
T10,rework_requested,2
T11,blocked_escalated_late,1
T12,rework_requested,2
T13,blocked_escalated_late,1
T14,helped_peer,1
T14,rework_requested,1
T15,blocked_escalated_late,2
T15,proactive_update,1
T16,helped_peer,1
T16,proactive_update,1
T17,rework_requested,1
T17,blocked_escalated_late,1
T18,rework_requested,2
T18,blocked_escalated_late,1
T19,helped_peer,1
T19,proactive_update,1
T20,rework_requested,1
T20,blocked_escalated_late,1
T21,helped_peer,1
T22,rework_requested,1
T22,blocked_escalated_late,1
T24,helped_peer,1
T24,blocked_escalated_late,1
T25,proactive_update,1
T27,helped_peer,1
